"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value"
"CHEMBL287560",,"None",309.37,"0","3.79","44","COc1ccc2oc(-c3ccccc3)c(CCNC(C)=O)c2c1","Ki","'='",0.01,"nM",11,,,"UO_0000065",35.56,"0.65","7.21","21.37",1,"CHEMBL3777315","Displacement of 2-[125I]Iodomelatonin from human MT1 melatonin receptor expressed in HEK cells after 120 mins","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None",,,,"CHEMBL1945","Melatonin receptor 1A","Homo sapiens","SINGLE PROTEIN","CHEMBL3774335",1,"Scientific Literature","J Med Chem",2016,"CHEMBL3307715",,,
"CHEMBL330137",,"None",335.4,"0","4.34","20","C=CCC(=O)NCCc1c(-c2ccccc2)oc2ccc(OC)cc12","Ki","'='",0.01,"nM",11,,,"UO_0000065",32.8,"0.60","6.66","21.37",0,"CHEMBL714106","Binding affinity on human melatonin receptor type 1A stably transfected in human embryonic kidney (HEK 293) using 2-[125I]iodomelatonin as radioligand.","B","BAO_0000219","cell-based format","None","None","None","HEK293","None",,,,"CHEMBL1945","Melatonin receptor 1A","Homo sapiens","SINGLE PROTEIN","CHEMBL1135482",1,"Scientific Literature","J Med Chem",2002,"CHEMBL3307715",,,
"CHEMBL287560",,"None",309.37,"0","3.79","10q","COc1ccc2oc(-c3ccccc3)c(CCNC(C)=O)c2c1","Ki","'='",0.01,"nM",11,,,"UO_0000065",35.56,"0.65","7.21","21.37",0,"CHEMBL714106","Binding affinity on human melatonin receptor type 1A stably transfected in human embryonic kidney (HEK 293) using 2-[125I]iodomelatonin as radioligand.","B","BAO_0000219","cell-based format","None","None","None","HEK293","None",,,,"CHEMBL1945","Melatonin receptor 1A","Homo sapiens","SINGLE PROTEIN","CHEMBL1135482",1,"Scientific Literature","J Med Chem",2002,"CHEMBL3307715",,,
"CHEMBL132802",,"None",269.34,"0","3.01","14a","COc1ccc2cccc3c2c1C(CNC(C)=O)CC3","Ki","'='",0.01,"nM",11,,,"UO_0000065",40.84,"0.75","7.99","28.70",0,"CHEMBL713111","Binding affinity for human melatonin receptor type 1A, expressed in HEK293 cells (2-[125I]iodomelatonin is used as radioligand)","B","BAO_0000219","cell-based format","None","None","None","HEK293","None",,,,"CHEMBL1945","Melatonin receptor 1A","Homo sapiens","SINGLE PROTEIN","CHEMBL1133479",1,"Scientific Literature","J Med Chem",2000,"CHEMBL3307715",,,
"CHEMBL336054",,"None",313.4,"0","3.41","15b","CCC(=O)NCC1CCc2c(OC)ccc3ccc(OC)c1c23","Ki","'='",0.012,"nM",10.92,,,"UO_0000065",34.85,"0.65","7.51","22.96",0,"CHEMBL713111","Binding affinity for human melatonin receptor type 1A, expressed in HEK293 cells (2-[125I]iodomelatonin is used as radioligand)","B","BAO_0000219","cell-based format","None","None","None","HEK293","None",,,,"CHEMBL1945","Melatonin receptor 1A","Homo sapiens","SINGLE PROTEIN","CHEMBL1133479",1,"Scientific Literature","J Med Chem",2000,"CHEMBL3307715",,,
"CHEMBL139855",,"None",309.37,"0","2.87","64","COc1c[nH]c2nc(-c3ccccc3)c(CCNC(C)=O)c-2c1","IC50","'='",0.01259,"nM",10.9,,,"UO_0000065",35.23,"0.65","8.03","16.27",0,"CHEMBL856174","Melatonin receptor type 1A binding affinity measured using 2-[125I]iodomelatonin on ovine pars tuberalis membrane homogenates.","B","BAO_0000019","assay format","Ovis aries","None","None","None","None",,,,"CHEMBL1945","Melatonin receptor 1A","Homo sapiens","SINGLE PROTEIN","CHEMBL1131168",1,"Scientific Literature","J Med Chem",1998,"None",,,
"CHEMBL289233","IODOMELATONIN","None",358.18,"0","2.46","14","COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1","Ki","'='",0.013,"nM",10.89,,,"UO_0000065",30.39,"0.83","8.43","20.11",0,"CHEMBL713259","Inhibition of 2-[125I]iodomelatonin binding to human Melatonin receptor type 1A expressed in HEK293 cells","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None",,,,"CHEMBL1945","Melatonin receptor 1A","Homo sapiens","SINGLE PROTEIN","CHEMBL1135933",1,"Scientific Literature","J Med Chem",2002,"CHEMBL3307715",,,
"CHEMBL1774514",,"None",299.41,"0","3.50","10","CCC(=O)NCCC1=C(C(C)C)Cc2ccc3c(c21)CCO3","Ki","'='",0.013,"nM",10.89,,,"UO_0000065",36.36,"0.68","7.39","28.40",0,"CHEMBL1775434","Displacement of [125I]-2-iodomelatonin from human MT1 receptor expressed on CHO cells by microscintillation counting","B","BAO_0000219","cell-based format","Homo sapiens","None","None","CHO","None",,,,"CHEMBL1945","Melatonin receptor 1A","Homo sapiens","SINGLE PROTEIN","CHEMBL1772997",1,"Scientific Literature","J Med Chem",2011,"CHEMBL3308072",,,
"CHEMBL1218","RAMELTEON","4.0",259.35,"0","2.57","(S)-(-)-22b","CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3","Ki","'='",0.0138,"nM",10.86,,,"UO_0000065",41.87,"0.78","8.29","28.33",0,"CHEMBL712573","Binding affinity against human Melatonin receptor type 1A (MT1)","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None",,,,"CHEMBL1945","Melatonin receptor 1A","Homo sapiens","SINGLE PROTEIN","CHEMBL1135782",1,"Scientific Literature","J Med Chem",2002,"None",,,
"CHEMBL1218","RAMELTEON","4.0",259.35,"0","2.57","Ramelteon","CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3","Ki","'='",0.014,"nM",10.85,,,"UO_0000065",41.85,"0.78","8.28","28.32",1,"CHEMBL4835156","Binding affinity to human MT1 expressed in CHO cells","B","BAO_0000219","cell-based format","Homo sapiens","None","None","CHO","None",,,,"CHEMBL1945","Melatonin receptor 1A","Homo sapiens","SINGLE PROTEIN","CHEMBL4834409",1,"Scientific Literature","J Med Chem",2021,"None",,"AGONIST",
