"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL1277792";"";"";"Small molecule";"";"409.88";"2";"2";"2.96";"80.24";"6";"1";"0";"5";"N";"0.70";"12.74";"5.47";"2.03";"2.03";"3";"MOL";"-1";"29";"7";"1";"0";"409.1306";"-1.73";"NEUTRAL";"C21H20ClN5O2";"O=C(NCc1ccncc1N1CCOCC1)c1cncc(-c2ccc(Cl)cc2)n1";"XODADHNSUQUULV-UHFFFAOYSA-N";"InChI=1S/C21H20ClN5O2/c22-17-3-1-15(2-4-17)18-12-24-13-19(26-18)21(28)25-11-16-5-6-23-14-20(16)27-7-9-29-10-8-27/h1-6,12-14H,7-11H2,(H,25,28)";"False";"-1"
"CHEMBL400355";"";"";"Small molecule";"";"336.78";"1";"1";"5.33";"58.03";"2";"2";"1";"3";"N";"0.53";"13.87";"None";"4.40";"4.40";"4";"MOL";"-1";"24";"4";"2";"1";"336.0666";"-1.49";"NEUTRAL";"C19H13ClN2O2";"O=C(Nc1ccc2cc[nH]c2c1)c1ccc(-c2ccc(Cl)cc2)o1";"OVESJEVEMVKRJZ-UHFFFAOYSA-N";"InChI=1S/C19H13ClN2O2/c20-14-4-1-13(2-5-14)17-7-8-18(24-17)19(23)22-15-6-3-12-9-10-21-16(12)11-15/h1-11,21H,(H,22,23)";"False";"-1"
"CHEMBL4464990";"";"";"Unknown";"";"537.54";"14";"56";"4.65";"97.31";"7";"1";"1";"5";"N";"0.47";"5.44";"6.07";"2.59";"2.32";"3";"MOL";"-1";"37";"8";"1";"1";"537.1458";"-1.24";"ACID";"C24H23F4N5O3S";"O=S(=O)(Nc1ccncn1)c1cc2c(cc1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1c1ccccn1)CCO2";"XQUOWYVEKSXNET-RYGJVYDSSA-N";"InChI=1S/C24H23F4N5O3S/c25-17-12-16-19(33-9-5-15(24(26,27)28)11-20(33)18-3-1-2-7-30-18)6-10-36-21(16)13-22(17)37(34,35)32-23-4-8-29-14-31-23/h1-4,7-8,12-15,19-20H,5-6,9-11H2,(H,29,31,32)/t15-,19-,20+/m0/s1";"False";"-1"
"CHEMBL1276881";"";"";"Small molecule";"";"408.77";"5";"5";"4.02";"77.00";"5";"1";"0";"5";"N";"0.65";"13.75";"0.92";"3.79";"3.79";"3";"MOL";"-1";"28";"6";"1";"0";"408.0601";"-1.61";"NEUTRAL";"C18H12ClF3N4O2";"O=C(NCc1cccnc1Cl)c1cncc(-c2ccc(OC(F)(F)F)cc2)n1";"RJLVNBBRFOUABG-UHFFFAOYSA-N";"InChI=1S/C18H12ClF3N4O2/c19-16-12(2-1-7-24-16)8-25-17(27)15-10-23-9-14(26-15)11-3-5-13(6-4-11)28-18(20,21)22/h1-7,9-10H,8H2,(H,25,27)";"False";"-1"
"CHEMBL254384";"";"";"Small molecule";"";"311.77";"1";"1";"5.16";"42.24";"2";"1";"1";"3";"N";"0.73";"None";"None";"4.89";"4.89";"3";"MOL";"-1";"22";"3";"1";"1";"311.0713";"-1.31";"NEUTRAL";"C18H14ClNO2";"Cc1cccc(NC(=O)c2coc(-c3ccc(Cl)cc3)c2)c1";"IIFLBSPFMNFHBT-UHFFFAOYSA-N";"InChI=1S/C18H14ClNO2/c1-12-3-2-4-16(9-12)20-18(21)14-10-17(22-11-14)13-5-7-15(19)8-6-13/h2-11H,1H3,(H,20,21)";"False";"-1"
"CHEMBL250443";"";"";"Small molecule";"";"361.32";"8";"17";"5.41";"51.47";"3";"1";"1";"4";"N";"0.68";"None";"None";"5.64";"5.64";"3";"MOL";"-1";"26";"4";"1";"1";"361.0926";"-1.66";"NEUTRAL";"C19H14F3NO3";"Cc1cccc(NC(=O)c2ccc(-c3ccc(OC(F)(F)F)cc3)o2)c1";"CNFVTGOGEPWRJO-UHFFFAOYSA-N";"InChI=1S/C19H14F3NO3/c1-12-3-2-4-14(11-12)23-18(24)17-10-9-16(25-17)13-5-7-15(8-6-13)26-19(20,21)22/h2-11H,1H3,(H,23,24)";"False";"-1"
"CHEMBL1271308";"";"";"Small molecule";"";"386.37";"4";"5";"5.52";"51.22";"3";"1";"1";"4";"N";"0.64";"None";"1.71";"6.34";"6.34";"3";"MOL";"-1";"28";"4";"1";"1";"386.1242";"-1.49";"NEUTRAL";"C21H17F3N2O2";"Cc1cc(C)cc(NC(=O)c2ccnc(-c3ccc(OC(F)(F)F)cc3)c2)c1";"XNTXVPMZYCOUIA-UHFFFAOYSA-N";"InChI=1S/C21H17F3N2O2/c1-13-9-14(2)11-17(10-13)26-20(27)16-7-8-25-19(12-16)15-3-5-18(6-4-15)28-21(22,23)24/h3-12H,1-2H3,(H,26,27)";"False";"-1"
"CHEMBL1270100";"";"";"Small molecule";"";"358.23";"4";"4";"4.38";"54.88";"3";"1";"0";"4";"N";"0.70";"13.86";"3.24";"3.41";"3.41";"3";"MOL";"-1";"24";"4";"1";"0";"357.0436";"-1.63";"NEUTRAL";"C18H13Cl2N3O";"O=C(NCc1cccnc1Cl)c1cncc(-c2ccc(Cl)cc2)c1";"JJLXCDLYMWHMIF-UHFFFAOYSA-N";"InChI=1S/C18H13Cl2N3O/c19-16-5-3-12(4-6-16)14-8-15(10-21-9-14)18(24)23-11-13-2-1-7-22-17(13)20/h1-10H,11H2,(H,23,24)";"False";"-1"
"CHEMBL400960";"";"";"Small molecule";"";"291.73";"1";"2";"3.07";"42.68";"3";"0";"0";"2";"N";"0.85";"None";"None";"2.28";"2.28";"2";"MOL";"-1";"20";"4";"0";"0";"291.0662";"-1.73";"NEUTRAL";"C15H14ClNO3";"O=C(c1ccc(-c2ccc(Cl)cc2)o1)N1CCOCC1";"HNHRDYWSUVNYTP-UHFFFAOYSA-N";"InChI=1S/C15H14ClNO3/c16-12-3-1-11(2-4-12)13-5-6-14(20-13)15(18)17-7-9-19-10-8-17/h1-6H,7-10H2";"False";"-1"
"CHEMBL1271206";"";"";"Small molecule";"";"386.37";"4";"5";"5.52";"51.22";"3";"1";"1";"4";"N";"0.64";"None";"3.14";"5.95";"5.95";"3";"MOL";"-1";"28";"4";"1";"1";"386.1242";"-1.45";"NEUTRAL";"C21H17F3N2O2";"Cc1cc(C)cc(NC(=O)c2cncc(-c3ccc(OC(F)(F)F)cc3)c2)c1";"QLGKRCSGYMDFCH-UHFFFAOYSA-N";"InChI=1S/C21H17F3N2O2/c1-13-7-14(2)9-18(8-13)26-20(27)17-10-16(11-25-12-17)15-3-5-19(6-4-15)28-21(22,23)24/h3-12H,1-2H3,(H,26,27)";"False";"-1"
"CHEMBL1277608";"";"";"Small molecule";"";"310.74";"1";"1";"3.44";"67.77";"4";"1";"0";"3";"N";"0.80";"None";"4.36";"2.44";"2.43";"3";"MOL";"-1";"22";"5";"1";"0";"310.0621";"-1.89";"NEUTRAL";"C16H11ClN4O";"O=C(Nc1cccnc1)c1cncc(-c2ccc(Cl)cc2)n1";"JJSHHDVJICWJAP-UHFFFAOYSA-N";"InChI=1S/C16H11ClN4O/c17-12-5-3-11(4-6-12)14-9-19-10-15(21-14)16(22)20-13-2-1-7-18-8-13/h1-10H,(H,20,22)";"False";"-1"
